,datetime,open,high,low,close
106,2021-10-02 23:30:00,47781.03125,47781.03125,47560.98828,47689.87891
107,2021-10-02 23:35:00,47737.62109,47795.41016,47643.89844,47643.89844
108,2021-10-02 23:40:00,47649.07812,47709.50000,47649.07812,47681.21875
109,2021-10-02 23:45:00,47622.64844,47736.46875,47590.91016,47590.91016
110,2021-10-02 23:50:00,47591.96875,47729.21094,47591.96875,47729.21094
111,2021-10-02 23:55:00,47736.07812,47736.07812,47665.48828,47665.48828
112,2021-10-03 00:00:00,47632.28906,47794.55859,47628.51172,47794.55859
113,2021-10-03 00:05:00,47799.53125,47799.53125,47706.94141,47722.35938
114,2021-10-03 00:10:00,47713.82031,47722.80078,47679.89062,47707.12891
115,2021-10-03 00:15:00,47750.87891,47761.44922,47650.51953,47650.51953
116,2021-10-03 00:20:00,47676.69922,47769.98828,47676.69922,47721.44141
117,2021-10-03 00:25:00,47728.53906,47760.07031,47715.19922,47721.17969
118,2021-10-03 00:30:00,47749.17188,47754.46875,47632.46094,47632.46094
119,2021-10-03 00:35:00,47624.10938,47633.12109,47570.05078,47570.05078
120,2021-10-03 00:40:00,47555.55859,47583.14062,47512.35156,47512.35156
121,2021-10-03 00:45:00,47552.46094,47561.10938,47163.03906,47218.60938
122,2021-10-03 00:50:00,47196.14062,47327.62891,47122.19141,47296.71094
123,2021-10-03 00:55:00,47264.89844,47312.67188,47230.12109,47280.00000
124,2021-10-03 01:00:00,47276.94922,47391.69141,47276.94922,47391.69141
125,2021-10-03 01:05:00,47352.01953,47371.55859,47307.32812,47363.12891
126,2021-10-03 01:10:00,47355.96094,47360.25000,47294.30859,47294.30859
127,2021-10-03 01:15:00,47311.82031,47393.60938,47256.60938,47383.19922
128,2021-10-03 01:20:00,47387.12109,47387.98047,47268.62891,47268.62891
129,2021-10-03 01:25:00,47231.42188,47351.48047,47231.42188,47329.87109
130,2021-10-03 01:30:00,47318.01953,47358.01953,47300.98828,47314.98828
131,2021-10-03 01:35:00,47301.55859,47391.69922,47301.55859,47391.69922
132,2021-10-03 01:40:00,47390.33984,47466.85156,47390.33984,47449.39062
133,2021-10-03 01:45:00,47480.07812,47581.48828,47480.07812,47581.48828
134,2021-10-03 01:50:00,47567.44141,47593.82031,47537.96875,47538.32031
135,2021-10-03 01:55:00,47541.50000,47547.33984,47505.91016,47529.96094
136,2021-10-03 02:00:00,47508.05859,47587.17969,47507.94141,47564.16016
137,2021-10-03 02:05:00,47572.30859,47590.05078,47522.92188,47590.05078
138,2021-10-03 02:10:00,47652.57812,47750.71875,47652.57812,47700.71094
139,2021-10-03 02:15:00,47682.41016,47689.10156,47670.00000,47679.92188
140,2021-10-03 02:20:00,47650.98828,47714.62891,47645.98047,47714.62891
141,2021-10-03 02:25:00,47719.85156,47724.17969,47685.14062,47720.26953
142,2021-10-03 02:30:00,47721.71875,47721.71875,47650.28125,47668.00000
143,2021-10-03 02:35:00,47652.51953,47664.55078,47605.01172,47605.01172
144,2021-10-03 02:40:00,47614.92188,47622.48828,47574.78125,47591.23047
